rgt,cycle,trans_type,lat_req,lon_req,asc_req,lon_actual,lat_actual,asc_actual,trans_file,crr_id,tdif,conflict,priority,accept,,,,
1,0,1,1.3915,-0.26823,0,,,,V2.0,,,,1,y,,,,
1,0,0,66.126,-8.9673,0,,,,V2.0,,,,1,y,,,,
1,0,1,19.801,170.09,1,,,,V2.0,,,,1,y,,,,
1,0,0,-26.404,165.37,1,,,,V2.0,,,,1,y,,,,
2,0,1,70.915,154.88,1,,,,V2.0,,,,1,y,,,,
2,0,0,55.19,150.94,1,,,,V2.0,,,,1,y,,,,
2,0,1,23.631,146.88,1,,,,V2.0,,,,1,y,,,,
2,0,0,-41.684,139.96,1,,,,V2.0,,,,1,y,,,,
2,0,1,-27.667,-44.514,0,,,,V2.0,,,,1,y,,,,
3,0,0,3.4768,-47.715,0,,,,V2.0,,,,1,y,,,,
3,0,1,71.664,131.56,1,,,,V2.0,,,,1,y,38.847315,124.9909,,
3,0,0,-38.503,116.74,1,,,,V2.0,,,,1,y,,,,
3,0,1,-51.967,-65.034,0,,,,V2.0,,,,1,y,,,,
4,0,0,24.916,-73.536,0,,,,V2.0,,,,1,y,,,,
4,0,1,34.976,-74.662,0,,,,V2.0,,,,1,y,,,,
4,0,0,58.208,-78.007,0,,,,V2.0,,,,1,y,,,,
4,0,1,74.654,109.39,1,,,,V2.0,,,,1,y,26.794861,99.794861,,
4,0,0,-3.8831,96.837,1,,,,V2.0,,,,1,y,,,,
5,0,1,12.758,-95.887,0,,,,V2.0,,,,1,y,,,,
5,0,0,66.128,-103.43,0,,,,V2.0,,,,1,y,41.327777,-99.098481,,Pushed back
5,0,1,70.243,83.757,1,,,,V2.0,,,,1,y,30.077893,76.717492,,
5,0,0,6.2016,74.228,1,,,,V2.0,,,,1,y,,,,
6,0,1,30.66,-121.4,0,,,,V2.0,,,,1,y,,,,Special Case: California
6,0,0,70.552,-128.49,0,,,,V2.0,,,,1,y,,,,
6,0,1,69.297,59.801,1,,,,V2.0,,,,1,y,34.656583,53.625571,,
6,0,0,-29.107,46.976,1,,,,V2.0,,,,1,y,,,,
6,0,1,-31.026,-138.62,0,,,,V2.0,,,,1,y,Islands?,,,
6,0,0,-1.9628,-141.65,0,,,,V2.0,,,,1,y,,,,
7,0,1,55.824,-148.43,0,,,,V2.0,,,,1,y,,,,
7,0,0,70.199,-151.98,0,,,,V2.0,,,,1,y,,,,
7,0,1,69.138,36.131,1,,,,V2.0,,,,1,y,42.225452,30.926099,,
7,0,0,-37.858,22.342,1,,,,V2.0,,,,1,y,,,,
7,0,1,-31.5,-162.18,0,,,,V2.0,,,,1,y,Islands?,,,
8,0,0,20.11,-167.5,0,,,,V2.0,,,,1,y,,,,
8,0,1,65.347,11.373,1,,,,V2.0,,,,1,y,42.750335,7.373528,,
8,0,0,2.5256,3.0008,1,,,,V2.0,,,,1,y,,,,
