rgt,trans_type,lat,lon
1,1,1.3915,-0.26823
1,0,66.126,-8.9673
1,1,19.801,170.09
1,0,-26.404,165.37
2,1,70.915,154.88
2,0,55.19,150.94
2,1,23.631,146.88
2,0,-41.684,139.96
2,1,-27.667,-44.514
3,0,3.4768,-47.715
3,1,71.664,131.56
3,0,-38.503,116.74
3,1,-51.967,-65.034
4,0,24.916,-73.536
4,1,34.976,-74.662
4,0,58.208,-78.007
4,1,74.654,109.39
4,0,-3.8831,96.837
5,1,12.758,-95.887
5,0,66.128,-103.43
5,1,70.243,83.757
5,0,6.2016,74.228
6,1,30.66,-121.4
6,0,70.552,-128.49
6,1,69.297,59.801
6,0,-29.107,46.976
6,1,-31.026,-138.62
6,0,-1.9628,-141.65
7,1,55.824,-148.43
7,0,70.199,-151.98
7,1,69.138,36.131
7,0,-37.858,22.342
7,1,-31.5,-162.18
8,0,20.11,-167.5
8,1,65.347,11.373
8,0,2.5256,3.0008
8,1,-45.007,175.86
9,0,19.155,168.98
9,1,52.807,164.84
9,0,69.587,160.99
9,1,-40.239,151.62
10,0,23.318,144.92
10,1,38.167,143.24
10,0,71.978,136.44
10,1,1.7136,-44.318
10,0,-28.641,-47.449
10,1,-36.262,127.51
11,0,74.341,111.68
11,1,61.06,-60.511
11,0,41.19,-63.677
11,1,20.434,-66.034
11,0,-57.361,-74.98
11,1,-8.0291,100.86
12,0,74.655,87.895
12,1,58.049,-84.741
12,0,9.7189,-90.755
13,1,5.5533,75.882
13,0,69.128,66.685
13,1,64.716,-106.9
13,0,20.929,-113.22
14,1,6.1902,52.199
14,0,67.863,43.475
14,1,69.631,-129.04
14,0,49.164,-133.45
14,1,-4.3509,-139.41
14,0,-31.331,-142.23
14,1,-32.62,32.607
15,0,70.864,18.805
15,1,70.286,-152.42
15,0,52.182,-156.61
15,1,26.68,-159.85
15,0,-31.176,-165.83
16,1,0.75152,5.5059
16,0,64.069,-2.7149
16,1,9.2419,174.72
16,0,-51.659,167.89
17,1,69.632,160.11
17,0,45.491,155.17
17,1,12.435,151.42
17,0,-46.758,144.99
17,1,-23.842,-39.218
18,0,1.076,-41.764
18,1,71.505,137.2
18,0,24.116,129.02
18,1,11.8,127.74
18,0,-37.709,122.55
18,1,-43.094,-60.592
19,0,21.399,-67.452
19,1,38.644,-69.392
19,0,60.746,-72.808
19,1,73.71,114.6
